更新时间,#genre#
20260519 00:10:35,url


freetv_ws,#genre#
上海卫视,https://t.freetv.fun/live/shang-hai-wei-shi.m3u8
东南卫视,https://t.freetv.fun/live/dong-nan-wei-shi.smil
内蒙古卫视,https://t.freetv.fun/live/nei-meng-gu-wei-shi.m3u8
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-gao-qing.smil
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi.smil
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi.smil
大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi-1.m3u8
大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi.m3u8
宁夏卫视,https://t.freetv.fun/live/zhu-xia-wei-shi.smil
安徽卫视,https://t.freetv.fun/live/an-hui-wei-shi-gao-qing.smil
山东卫视,https://t.freetv.fun/live/shan-dong-wei-shi-gao-qing.smil
山东卫视,https://t.freetv.fun/live/shan-dong-wei-shi.smil
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-1.m3u8
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing.smil
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi.smil
广西卫视,https://t.freetv.fun/live/yan-xi-wei-shi-1.m3u8
广西卫视,https://t.freetv.fun/live/yan-xi-wei-shi.smil
江苏卫视,https://t.freetv.fun/live/jiang-su-wei-shi-gao-qing.smil
江苏卫视,https://t.freetv.fun/live/jiang-su-wei-shi.smil
江西卫视,https://t.freetv.fun/live/jiang-xi-wei-shi-gao-qing.smil
河北卫视,https://t.freetv.fun/live/he-bei-wei-shi-gao-qing.smil
河北卫视,https://t.freetv.fun/live/he-bei-wei-shi.m3u8
河南卫视,https://t.freetv.fun/live/he-nan-wei-shi.m3u8
浙江卫视,https://t.freetv.fun/live/zhe-jiang-wei-shi-1.smil
浙江卫视,https://t.freetv.fun/live/zhe-jiang-wei-shi-gao-qing.smil
浙江卫视,https://t.freetv.fun/live/zhe-jiang-wei-shi.smil
海南卫视,https://t.freetv.fun/live/hai-nan-wei-shi-1.m3u8
海南卫视,https://t.freetv.fun/live/hai-nan-wei-shi.smil
深圳卫视,https://t.freetv.fun/live/shen-zhen-wei-shi-gao-qing.smil
深圳卫视,https://t.freetv.fun/live/shen-zhen-wei-shi.smil
湖北卫视,https://t.freetv.fun/live/hu-bei-wei-shi-gao-qing.smil
湖北卫视,https://t.freetv.fun/live/hu-bei-wei-shi.smil
湖南卫视,https://t.freetv.fun/live/hu-nan-wei-shi-1.smil
湖南卫视,https://t.freetv.fun/live/hu-nan-wei-shi.smil
甘肃卫视,https://t.freetv.fun/live/gan-su-wei-shi.m3u8
西藏卫视,https://t.freetv.fun/live/xi-cang-wei-shi.m3u8
辽宁卫视,https://t.freetv.fun/live/liao-zhu-wei-shi.smil
重庆卫视,https://t.freetv.fun/live/zhong-qing-wei-shi-gao-qing.smil
重庆卫视,https://t.freetv.fun/live/zhong-qing-wei-shi.smil
陕西卫视,https://t.freetv.fun/live/shan-xi-wei-shi.m3u8
黑龙江卫视,https://t.freetv.fun/live/hei-long-jiang-wei-shi.smil
